SpeciesName,CommonName
Richardia humistrata,"South American Mexican-Clover, Ground Pusley"
Richardia scabra,"Rough Mexican-Clover, Florida Pusley"
Ricinus communis,"Castor-Bean, Castor-Oil Plant, Palma Christi"
Robinia hispida var. hispida,"Common Bristly Locust, Mountain-Rose"
Robinia hispida var. rosea,Boynton's Locust
Robinia nana,"Dwarf Bristly Locust, Elliott’s Locust"
Robinia pseudoacacia,"Black Locust, False Acacia"
Robinia viscosa,"Clammy Locust, Red Locust"
Rorippa aquatica,Lakecress
Rorippa palustris ssp. fernaldiana,"Fernald’s Marsh Yellowcress, American Marshcress, Bog Yellowcress"
Rorippa sessiliflora,"Stalkless Yellowcress, Stalkless Marshcress, Sessile-Flower Cress"
Rorippa sylvestris,"Creeping Yellowcress, Yellow Fieldcress"
Rorippa teres,Southern Marsh Yellowcress
Rosa ×damascena,Damask Rose
Rosa bracteata,"Mccartney Rose, Chickasaw Rose, Hedge Rose"
Rosa canina,Dog Rose
Rosa carolina,"Carolina Rose, Wild Rose"
Rosa chinensis,Chinese Rose
Rosa eglanteria,"Sweetbrier Rose, Egalantine Rose"
Rosa laevigata,Cherokee Rose
Rosa luciae,"Memorial Rose, Dorothy Perkins Rose, Lucie Rose"
Rosa multiflora,"Multiflora Rose, Rambler Rose"
Rosa palustris,Swamp Rose
Rosa setigera,"Prairie Rose, Climbing Prairie Rose, Climbing Rose"
Rostraria cristata,"Mediterranean Hairgrass, Annual Junegrass"
Rotala ramosior,"Lowland Toothcup, Lowland Rotala"
Rotala rotundifolia,Round-Leaf Toothcup
Rottboellia cochinchinensis,Itch Grass
Rubus allegheniensis,Allegheny Blackberry
Rubus argutus,"Highbush Blackberry, Southern Blackberry, Saw-Tooth Blackberry"
Rubus bifrons,"Himalayan-Berry, European Blackberry"
Rubus cuneifolius,Sand Blackberry
Rubus discolor,"Himalayan Blackberry, Armenian Blackberry"
Rubus flagellaris,"Northern Dewberry, Whiplash Dewberry, Common Dewberry"
Rubus hispidus,"Bristly Dewberry, Swamp Dewberry"
Rubus occidentalis,"Black Raspberry, Blackcap Raspberry"
Rubus phoenicolasius,"Wine Raspberry, Wineberry"
Rubus trivialis,"Southern Dewberry, Coastal-Plain Dewberry"
Rudbeckia auriculata,"Eared Coneflower, Alabama Coneflower, Swamp Black-Eyed-Susan"
Rudbeckia fulgida var. fulgida,"Orange Coneflower, Eastern Coneflower, Brilliant Coneflower"
Rudbeckia fulgida var. spathulata,"Spatulate-Leaf Coneflower, Flat-Head Coneflower"
Rudbeckia fulgida var. umbrosa,"Appalachian Coneflower, Shady Coneflower"
Rudbeckia heliopsidis,"Sun-Facing Coneflower, Pineywoods Coneflower, Little River Black-Eyed-Susan"
Rudbeckia hirta var. angustifolia,Coastal-Plain Black-Eyed-Susan
Rudbeckia hirta var. hirta,Woodland Black-Eyed-Susan
Rudbeckia hirta var. pulcherrima,"Common Black-Eyed-Susan, Weedy Black-Eyed-Susan"
Rudbeckia laciniata var. digitata,"Coastal-Plain Cutleaf Coneflower, Southeastern Coneflower"
Rudbeckia laciniata var. laciniata,"Common Cutleaf Coneflower, Green-Head Coneflower, Golden-Glow"
Rudbeckia mollis,"Soft-Hair Coneflower, Woolly Coneflower"
Rudbeckia nitida,"Shiny Coneflower, St. John's Black-Eyed-Susan"
Rudbeckia triloba var. pinnatiloba,"Pinnate-Leaf Coneflower, Pinnate-Lobe Coneflower"
Rudbeckia triloba var. triloba,"Brown-Eyed-Susan, Three-Lobe Coneflower, Thin-Leaf Coneflower"
Ruellia caerulea,"Mexican-Petunia, Mexican-Bluebell, Linear-Leaf Wild Petunia"
Ruellia caroliniensis,"Carolina Wild Petunia, Common Wild Petunia, Hairy Wild Petunia"
Ruellia ciliosa,Sandhill Wild Petunia
Ruellia humilis,"Fringe-Leaf Wild Petunia, Low Wild Petunia, Hairy Wild Petunia"
Ruellia noctiflora,"Night-Flowering Wild Petunia, Night-Blooming Wild Petunia"
Ruellia nudiflora,Violet Wild Petunia
Ruellia purshiana,Pursh’s Wild Petunia
Ruellia strepens,Limestone Wild Petunia
Rumex acetosella,"Sheep Sorrel, Red Sorrel, Red Dock"
Rumex altissimus,"Pale Dock, Tall Dock, Peach-Leaf Dock"
Rumex conglomeratus,"Clustered Dock, Sharp Dock"
Rumex crispus,"Curly Dock, Yellow Dock"
Rumex cuneifolius,Wedge-Leaf Dock
Rumex floridanus,Florida Dock
Rumex hastatulus,"Heart-Wing Sorrel, Heart-Wing Dock, Wild Dock"
Rumex obtusifolius,"Broadleaf Dock, Bitter Dock"
Rumex paraguayensis,Paraguayan Dock
Rumex pulcher,"Fiddle Dock, Fiddle-Leaf Dock"
Rumex sanguineus,"Red-Vein Dock, Bloody Dock, Bloody Sorrel"
Rumex verticillatus,"Swamp Dock, Whorled Water Dock"
Ruppia maritima,"Wigeon-Grass, Beaked Ditch-Grass, Duck-Grass"
Sabal minor,"Dwarf Palmetto, Swamp Palmetto, Bush Palmetto"
Sabal palmetto,"Cabbage Palm, Cabbage Palmetto, Sabal Palm"
Sabatia angularis,"Common Rose-Pink, Square-Stem Rose-Gentian, Bitter-Bloom"
Sabatia bartramii,Bartram’s Rose-Gentian
Sabatia brachiata,"Narrowleaf Rose-Gentian, Narrowleaf Rose-Pink"
Sabatia brevifolia,Shortleaf Rose-Gentian
Sabatia calycina,"Coastal Rose-Gentian, Coastal Rose-Pink"
Sabatia campanulata,"Slender Marsh-Pink, Slender Rose-Gentian, Bog Marsh-Pink"
Sabatia capitata,"Appalachian Rose-Gentian, Cumberland Rose-Gentian, Upland Rose-Gentian"
Sabatia difformis,Lance-Leaf Rose-Gentian
Sabatia foliosa,Marsh Rose-Gentian
Sabatia gentianoides,"Pinewoods Rose-Gentian, Pinewoods Rose-Pink"
Sabatia grandiflora,Large-Flower Rose-Gentian
Sabatia macrophylla,Large-Leaf Rose-Gentian
Sabatia quadrangula,Four-Angle Rose-Gentian
Sabatia stellaris,"Annual Sea-Pink, Rose-Of-Plymouth, Saltmarsh-Pink, Bitter-Bloom"
Saccharum alopecuroides,Silver Plumegrass
Saccharum baldwinii,Narrow Plumegrass
Saccharum brevibarbe,Short-Beard Plumegrass
Saccharum coarctatum,"Compressed Plumegrass, Brown Plumegrass, Bunched Plumegrass"
Saccharum contortum,Bent-Awn Plumegrass
Saccharum giganteum,"Sugarcane Plumegrass, Giant Plumegrass"
Sacciolepis indica,"Glenwood Grass, Indian Cupscale"
Sacciolepis striata,American Cupscale
Sageretia minutiflora,"Small-Flower Mock Buckthorn, Shell-Mound Buckthorn, Small-Flower Buckthorn, Climbing Buckthorn"
Sagina decumbens,"Trailing Pearlwort, Eastern Pearlwort"
Sagittaria australis,"Long-Beak Arrowhead, Southern Arrowhead, Appalachian Arrowhead"
Sagittaria brevirostra,"Short-Beak Arrowhead, Midwestern Arrowhead"
Sagittaria calycina,"Hooded Arrowhead, Long-Lobe Arrowhead, Thick-Stalk Arrowhead"
Sagittaria chapmanii,Chapman’s Arrowhead
Sagittaria engelmanniana,"Engelmann’s Arrowhead, Acid-Water Arrowhead"
Sagittaria filiformis,"Threadleaf Arrowhead, Narrowleaf Arrowhead"
Sagittaria graminea,"Grassleaf Arrowhead, Grassy Arrowhead, Lance-Leaf Arrowhead"
Sagittaria isoetiformis,"Quillwort Arrowhead, Slender Arrow-Head"
Sagittaria lancifolia ssp. media,Bull-Tongue Arrowhead
Sagittaria latifolia,"Broadleaf Arrowhead, Duck-Potato, Wapato"
Sagittaria montevidensis,"Giant Arrowhead, Aztec Arrowhead, Ruby-Eye Arrowhead, California Arrowhead"
Sagittaria platyphylla,"Delta Arrowhead, Delta Duck-Potato"
Sagittaria secundifolia,"Kral’s Water-Plantain, Little River Arrowhead, Little River Water-Plantain"
Sagittaria subulata,"Awl-Leaf Arrowhead, Dwarf Arrowhead"
Salicornia bigelovii,"Dwarf Glasswort, Dwarf Saltwort, Purple Pickleweed"
Salix babylonica,Weeping Willow
Salix caroliniana,"Coastal-Plain Willow, Carolina Willow, Ward’s Willow"
Salix cinerea,Large Gray Willow
Salix eriocephala,"Missouri River Willow, Diamond Willow, Heartleaf Willow, Missouri Willow"
Salix floridana,Florida Willow
Salix humilis var. humilis,"Tall Prairie Willow, Upland Willow, Scrub Willow"
Salix humilis var. tristis,"Dwarf Gray Willow, Sage Willow, Dwarf Upland Willow, Dwarf Prairie Willow"
Salix nigra,Black Willow
Salix sericea,Silky Willow
Salpichroa origanifolia,"Lily-Of-The-Valley-Vine, Pampas-Lily-Of-The-Valley"
Salsola kali ssp. pontica,"Russian-Thistle, Southern Saltwort, Carolina Saltwort"
Salvia azurea var. azurea,Azure Blue Sage
Salvia azurea var. grandiflora,Pitcher’s Blue Sage
Salvia coccinea,"Scarlet Sage, Blood Sage"
Salvia lyrata,Lyre-Leaf Sage
Salvia occidentalis,West Indian Sage
Salvia officinalis,"Garden Sage, Kitchen Sage"
Salvia urticifolia,Nettle-Leaf Sage
Salvia verbenacea,"Wild Clary, Verbena Sage"
Salvinia minima,"Water-Spangles, Floating Fern, Common Salvinia"
Salvinia molesta,"Kariba-Weed, Aquarium Water-Moss, Giant Salvinia"
Sambucus canadensis,"American Elderberry, Common Elderberry, American Black Elderberry"
Samolus parviflorus,"American Water-Pimpernel, Brookweed, Water-Cabbage"
Sanguinaria canadensis,"Bloodroot, Red Puccoon"
Sanicula canadensis,"Canadian Black-Snakeroot, Short-Style Black-Snakeroot, Canadian Sanicle"
Sanicula marilandica,"Maryland Black-Snakeroot, Maryland Sanicle"
Sanicula odorata,"Clustered Black-Snakeroot, Clustered Sanicle"
Sanicula smallii,"Small’s Black-Snakeroot, Southern Sanicle, Small's Sanicle"
Sanicula trifoliata,"Large-Fruit Black-Snakeroot, Beaked Sanicle"
Sapindus marginatus,"Florida Soapberry, Wing-Leaf Soapberry"
Saponaria officinalis,"Bouncing-Bett, Soapwort"
Sarcocornia ambigua,"Woody Glasswort, Perennial Glasswort, Chicken-Claws"
Sarracenia alabamensis ssp. alabamensis,"Alabama Canebrake Pitcher-Plant, Alabama Pitcher-Plant"
Sarracenia alabamensis ssp. wherryi,"Wherry’s Pitcher-Plant, Wherry’s Sweet Pitcher-Plant"
Sarracenia alata,"Pale Pitcher-Plant, Yellow Trumpets, Pale Trumpets"
Sarracenia flava,"Yellow Pitcher-Plant, Trumpet Pitcher-Plant"
Sarracenia leucophylla,"Whitetop Pitcher-Plant, Crimson Pitcher-Plant, Fiddler’s-Trumpet"
Sarracenia oreophila,"Green Pitcher-Plant, Mountain Pitcher-Plant"
Sarracenia psittacina,"Parrot Pitcher-Plant, Parrot-Beaks"
Sarracenia rosea,"Rose Pitcher-Plant, Side-Saddle Pitcher-Plant, Devil’s-Boot, Frog-Britches, Huntsman’s-Horn"
Sassafras albidum,Sassafras
Saururus cernuus,"Lizard’s-Tail, Water-Dragon"
Scandix pecten-veneris,"Shepherd’s-Needle, Venus’-Comb, Crow’s-Needles"
Sceptridium biternatum,"Southern Grape Fern, Sparse-Lobe Grape Fern"
Sceptridium dissectum,"Cutleaf Grape Fern, Dissected Grape Fern"
Sceptridium jenmanii,"Alabama Grape Fern, Dixie Grape Fern, Jenman’s Grape Fern"
Sceptridium lunarioides,"Winter Grape Fern, Prostrate Grape Fern"
Schedonorus arundinaceus,"Tall Fescue, Alta Fescue, Kentucky-31 Fescue"
Schedonorus pratensis,Meadow Fescue
Schinus terebinthifolius var. raddianus,"Brazilian Peppertree, Brazilian Pepper, Florida-Holly, Christmas-Berry"
Schisandra glabra,"Bay Starvine, Climbing-Magnolia, Magnolia-Vine"
Schizachyrium maritimum,Gulf Bluestem
Schizachyrium sanguineum var. hirtiflorum,Hairy Crimson Bluestem
Schizachyrium scoparium var. divergens,"Pinehill Little Bluestem, Pinehill Bluestem"
Schizachyrium scoparium var. scoparium,Common Little Bluestem
Schizachyrium scoparium var. stoloniferum,Creeping Little Bluestem: Creeping Bluestem
Schizachyrium tenerum,"Slender Bluestem, Slender Little Bluestem"
Schoenolirion croceum,"Yellow Sunnybell, Swamp-Candle"
Schoenolirion wrightii,"Texas Sunnybell, Wright’s Sunnybell, White Sunnybell"
Schoenoplectus acutus,"Hard-Stem Bulrush, Great Bulrush, Hard-Stem Club-Rush"
Schoenoplectus americanus,"Chairmaker’s Bulrush, American Bulrush, Olney’s Three-Square, Chairmaker’s Club-Rush"
Schoenoplectus californicus,"California Bulrush, Giant Bulrush, California Club-Rush, Southern Bulrush"
Schoenoplectus deltarum,"Delta Bulrush, Delta Club-Rush"
Schoenoplectus erectus ssp. raynalii,"Sharp-Scale Bulrush, Sharp-Scale Club-Rush"
Schoenoplectus etuberculatus,"Canby’s Bulrush, Swamp Bulrush, Canby’s Club-Rush"
Schoenoplectus hallii,"Hall's Bulrush, Sharp-Scale Bulrush, Hall's Club-Rush"
Schoenoplectus pungens,"Common Three-Square, Three-Square Club-Rush, Sword-Grass"
Schoenoplectus purshianus,"Weak-Stalk Bulrush, Blunt-Scale Bulrush, Weak-Stalk Club-Rush"
Schoenoplectus subterminalis,"Swaying Bulrush, Water Bulrush, Swaying Club-Rush, Swaying-Rush"
Schoenoplectus tabernaemontani,"Soft-Stem Bulrush, Soft-Stem Club-Rush, Great Bulrush"
Schwalbea americana,American Chaffseed
Scirpus atrovirens,"Dark-Green Bulrush, Dusky Bulrush, Green Bulrush, Black Bulrush"
Scirpus cyperinus,"Wool-Grass, Marsh Bulrush"
Scirpus divaricatus,Spreading Bulrush
Scirpus expansus,Woodland Bulrush
Scirpus georgianus,Georgia Bulrush
Scirpus lineatus,"Drooping Bulrush, Lined Bulrush"
Scirpus pendulus,"Rufous Bulrush, Red Bulrush, Nodding Bulrush, Pendulous Bulrush"
Scirpus polyphyllus,"Leafy Bulrush, Many-Leaf Bulrush"
Scleranthus annuus,"Annual Knawel, German Knot-Grass"
Scleria baldwinii,Baldwin’s Nutrush
Scleria ciliata var. ciliata,"Fringed Nutrush, Hairy Nutrush"
Scleria ciliata var. elliottii,Elliott’s Nutrush
Scleria ciliata var. glabra,Smooth Nutrush
Scleria distans,River-Swamp Nutrush
Scleria georgiana,"Slender-Fruit Nutrush, Georgia Nutrush"
Scleria minor,Slender Nutrush
Scleria muehlenbergii,"Muehlenberg’s Nutrush, Pitted Nutrush"
Scleria oligantha,"Little-Head Nutrush, Tubercled Nutrush"
Scleria pauciflora var. caroliniana,Carolina Nutrush
Scleria pauciflora var. pauciflora,"Few-Flower Nutrush, Papillose Nutrush"
Scleria reticularis,"Netted Nutrush, Reticulated Nutrush"
Scleria triglomerata,"Whip Nutrush, Tall Nutrush"
Scleria verticillata,"Low Nutrush, Whorled Nutrush, Savannah Nutrush"
Sclerolepis uniflora,Pink Bogbutton
Scoparia dulcis,"Sweet-Broom, Licorice-Weed, Goatweed"
Scrophularia marilandica,"Carpenter’s-Square, Maryland Figwort, Eastern Figwort, Late Figwort"
Scutellaria alabamensis,Alabama Skullcap
Scutellaria australis,Southern Skullcap
Scutellaria drummondii,Drummond’s Skullcap
Scutellaria elliptica var. elliptica,Hairy Skullcap
Scutellaria elliptica var. hirsuta,Hirsute Skullcap
Scutellaria glabriuscula,Georgia Skullcap
Scutellaria incana var. incana,"Hoary Skullcap, Downy Skullcap"
Scutellaria incana var. punctata,Dotted Skullcap
Scutellaria integrifolia,"Hyssop Skullcap, Helmet-Flower, Helmet Skullcap, Rough Skullcap"
Scutellaria lateriflora,"Mad-Dog Skullcap, Blue Skullcap, Hoodwort"
Scutellaria leonardii,"Glade Skullcap, Shale-Barren Skullcap, Leonard’s Skullcap"
Scutellaria mellichampii,Mellichamp's Skullcap
Scutellaria nervosa,"Veiny Skullcap, Bottomland Skullcap, Veined Skullcap"
Scutellaria ovata,"Heartleaf Skullcap, Egg-Leaf Skullcap"
Scutellaria ovata ssp. bracteata,Bracted Skullcap
Scutellaria parvula,"Dwarf Skullcap, Small Skullcap"
Scutellaria pseudoserrata,False-Teeth Skullcap
Scutellaria racemosa,South American Skullcap
Secale cereale,"Cereal Rye, Cultivated Rye"
Securigera varia,Purple Crown-Vetch
Sedum acre,"Gold-Moss Stonecrop, Golden Carpet, Wallpepper"
Sedum nevii,Nevius’ Stonecrop
Sedum pulchellum,"Widow’s-Cross, Pink Stonecrop, Lime Stonecrop"
Sedum pusillum,"Granite Stonecrop, Puck's-Orpine"
Sedum sarmentosum,"Stringy Stonecrop, Graveyard-Moss, Yellow-Moss"
Sedum ternatum,"Woodland Stonecrop, Mountain Stonecrop, Wild Stonecrop"
Selaginella apoda,Meadow Spikemoss
Selaginella braunii,"Braun’s Spikemoss, Treelet Spikemoss"
Selaginella corallina,Riddell’s Spikemoss
Selaginella ludoviciana,"Gulf Spikemoss, Louisiana Spikemoss"
Selaginella rupestris,"Rock Spikemoss, Ledge Spikemoss, Dwarf Spikemoss"
Selaginella uncinata,"Peacock-Moss, Blue Spikemoss"
Senecio brasiliensis var. tripartitus,"Hemp-Leaf Ragwort, Flor-Das-Almas"
Senecio vulgaris,"Common Groundsel, Old-Man-In-The-Spring"
Senna corymbosa,"Argentinean Senna, Flowery Senna, Argentinean Wild Sensitive-Plant"
Senna hebecarpa,"American Senna, Northern Wild Senna, American Wild Sensitive-Plant"
Senna marilandica,"Maryland Senna, Southern Wild Senna, Maryland Wild Sensitive-Plant"
Senna obtusifolia,"Sicklepod, Coffeeweed, Java-Bean"
Senna occidentalis,"Coffee Senna, Septicweed, Arsenic-Bean"
Senna tora,"Sickle Senna, Stinking Cassia, Fetid Senna, Sickle Wild Sensitive-Plant"
Serenoa repens,Saw-Palmetto
Sericocarpus asteroides,Toothed Whitetop-Aster
Sericocarpus linifolius,Narrowleaf Whitetop-Aster
Sericocarpus tortifolius,"Dixie Whitetop-Aster, Twisted-Leaf Whitetop-Aster"
Sesamum orientale,"Sesame, Beniseed"
Sesbania drummondii,"Poison-Bean, Drummond’s Rattle-Box, Rattle-Bush, Rattle-Bean"
Sesbania herbacea,"Pea-Tree, Bigpod Sesban, Hemp Sesban, Indigo-Weed"
Sesbania punicea,"Rattle-Box, Scarlet Wisteria-Tree, Purple Sesban, Purple River-Hemp"
Sesbania vesicaria,"Bagpod, Bladderpod"
Sesbania virgata,Wand River-Hemp
Sesuvium maritimum,"Slender Sea-Purslane, Small Sea-Purslane"
Sesuvium portulacastrum,"Shoreline Sea-Purslane, Large Sea-Purslane"
Setaria adhaerens,"Burr Bristlegrass, Adherent Bristlegrass"
Setaria corrugata,"Coastal Bristlegrass, Coastal Foxtail"
Setaria faberi,"Japanese Bristlegrass, Nodding Foxtail, Chinese Foxtail, Chinese Millet"
Setaria italica,"Foxtail Millet, Italian Millet, Foxtail Bristlegrass, Italian Bristlegrass"
Setaria magna,"Giant Bristlegrass, Saltmarsh Foxtail, Giant Foxtail"
Setaria parviflora,"Marsh Bristlegrass, Knotroot Bristlegrass, Knotroot Foxtail"
Setaria pumila,"Yellow Bristlegrass, Yellow Foxtail"
Setaria setosa,West Indian Bristlegrass
Setaria sphacelata,African Bristlegrass
Setaria verticilliformis,Barbed Bristlegrass
Setaria viridis var. major,Giant Green Foxtail
Setaria viridis var. viridis,"Green Bristlegrass, Green Foxtail"
Seutera angustifolia,Gulf Coast Swallow-Wort
Seymeria cassioides,Yaupon Black-Senna
Seymeria pectinata,"Piedmont Black-Senna, Comb Black-Senna"
Shortia galacifolia,Oconee-Bells
Sicyos angulatus,"One-Seed Bur-Cucumber, Star-Cucumber"
Sida acuta,"Common Wireweed, Broomweed, Common Fanpetals"
Sida cordifolia,"Bala, Pantropical Fanpetals, Heart-Leaf Sida, Llima"
Sida elliottii,"Elliott’s Fanpetals, Coastal-Plain Sida"
Sida rhombifolia,"Cuban-Jute, Arrowleaf Sida"
Sida spinosa,"Prickly-Mallow, Prickly Fanpetals, Prickly Sida"
Sida urens,Tropical Fanpetals
Sideroxylon celastrinum,Saffron-Plum
Sideroxylon lanuginosum,"Eastern Gum Bully, Eastern Gum Bumelia, Woolly Buckthorn"
Sideroxylon lycioides,"Buckthorn Bully, Buckthorn Bumelia"
Sideroxylon reclinatum,"Florida Bully, Smooth Bumelia"
Sideroxylon thornei,"Georgia Bully, Thorne's Bumelia, Swamp Buckthorn"
Silene antirrhina,"Sleepy Catchfly, Garter-Pink"
Silene caroliniana ssp. wherryi,"Wherry’s Catchfly, Pink Catchfly, Wild Pink"
Silene coronaria,"Rose Campion, Mullein-Pink, Rose-Catchfly, Crown-Pink"
Silene dichotoma,Forked Catchfly
Silene gallica,"Small-Flower Catchfly, Windmill-Pink, Common Catchfly"
Silene latifolia,"White Campion, White Cockle, Evening Lychnis"
Silene noctiflora,"Night-Flowering Catchfly, Sticky Cockle, Sticky Campion"
Silene ovata,"Blue Ridge Catchfly, Southern Campion, Ovate Catchfly"
Silene regia,Royal Catchfly
Silene rotundifolia,"Roundleaf Catchfly, Roundleaf Fire-Pink, Sandstone Fire-Pink"
Silene stellata,"Starry Campion, Widow’s-Frill"
Silene virginica,Fire-Pink
Silphium asteriscus,"Starry Rosinweed, Common Rosinweed"
Silphium brachiatum,Cumberland Rosinweed
Silphium compositum var. compositum,Composite-Leaf Rosinweed
Silphium compositum var. ovatifolium,Ovate-Leaf Rosinweed
Silphium compositum var. reniforme,"Kidney-Leaf Rosinweed, Bear-Paws"
Silphium confertifolium,Blackbelt Rosinweed
Silphium dentatum,Toothed Rosinweed
Silphium glutinosum,Sticky Rosinweed
Silphium gracile,Slender Rosinweed
Silphium integrifolium,"Whole-Leaf Rosinweed, Entire-Leaf Rosinweed"
Silphium laciniatum var. robinsonii,"Compass-Plant, Pilot-Weed"
Silphium mohrii,"Mohr’s Rosinweed, Shaggy Rosinweed"
Silphium perfoliatum,"Common Cup-Plant, Indian-Cup, Carpenter’s-Square"
Silphium perplexum,Old Cahaba Rosinweed
Silphium pinnatifidum,Tansy Rosinweed
Silphium simpsonii,Simpson’s Rosinweed
Silphium terebinthinaceum,"Prairie-Dock, Prairie Rosinweed"
Silphium trifoliatum var. latifolium,Southern Rosinweed
Silphium trifoliatum var. trifoliatum,Whorled Rosinweed
Silybum marianum,Blessed Milk-Thistle
Sinapis alba,"White Mustard, Yellow Mustard"
Sinapis arvensis,"Charlock Mustard, Corn Mustard, Crunchweed"
Sisymbrium altissimum,"Tall Tumble-Mustard, Jim Hill Mustard, Tall Hedge-Mustard, Tumbleweed"
Sisymbrium officinale,Common Hedge-Mustard
Sisyrinchium albidum,White Blue-Eyed-Grass
Sisyrinchium angustifolium,"Narrowleaf Blue-Eyed-Grass, Stout Blue-Eyed-Grass"
Sisyrinchium atlanticum,"Eastern Blue-Eyed-Grass, Atlantic Blue-Eyed-Grass"
Sisyrinchium calciphilum,Glade Blue-Eyed-Grass
Sisyrinchium fuscatum,Coastal-Plain Blue-Eyed-Grass
Sisyrinchium langloisii,"Roadside Blue-Eyed-Grass, Pale Blue-Eyed-Grass"
Sisyrinchium nashii,Nash’s Blue-Eyed-Grass
Sisyrinchium pruinosum,Dotted Blue-Eyed-Grass
Sisyrinchium rosulatum,"Annual Blue-Eyed-Grass, Lawn Blue-Eyed-Grass, Fairy-Stars"
Sium suave,Water-Parsnip
Smallanthus uvedalius,"Hairy Leafcup, Bear’s-Foot, Large-Flower Leafcup"
Smilax auriculata,"Ear-Leaf Greenbrier, Dune Greenbrier, Sand-Bamboo"
Smilax biltmoreana,Biltmore’s Carrion-Flower
Smilax bona-nox,"Saw Greenbrier, Fringed Greenbrier, Bullbrier, Tramp's-Trouble"
Smilax glauca,"Cat Greenbrier, White-Leaf Greenbrier, White-Leaf Catbrier, Cat Saw-Brier"
Smilax herbacea,"Smooth Carrion-Flower, Common Carrion-Flower"
Smilax hispida,"Bristly Greenbrier, Bristly Bullbrier, China-Root, Hellfetter"
Smilax hugeri,Huger’s Carrion-Flower
Smilax lasioneura,"Blue Ridge Carrion-Flower, Midwestern Carrion-Flower, Common Carrion-Flower"
Smilax laurifolia,"Laurel Greenbrier, Bamboo-Vine, Laurel-Leaf Greenbrier, Blaspheme-Vine"
Smilax pumila,"Sarsaparilla-Vine, Dwarf Greenbrier, Hairy Greenbrier"
Smilax rotundifolia,"Round-Leaf Greenbrier, Common Greenbrier, Horsebrier, Devil’s-Hopvine"
Smilax smallii,"Lance-Leaf Greenbrier, Jackson-Vine, Small’s Greenbrier, Jackson-Brier"
Smilax walteri,"Coral Greenbrier, Red-Bead Greenbrier, Walter’s Greenbrier"
Smyrnium perfoliatum,Perfoliate Alexanders
Solanum americanum,American Black Nightshade
Solanum carolinense,"Carolina Horse-Nettle, Ball-Nettle, Carolina Nightshade"
Solanum dimidiatum,"Western Horse-Nettle, Robust Horse-Nettle, Torrey's Nightshade"
Solanum dulcamara,"Bittersweet Nightshade, Climbing Nightshade"
Solanum elaeagnifolium,"Silverleaf Nightshade, White Horse-Nettle"
Solanum lycopersicum,Garden Tomato
Solanum nigrescens,Divine Nightshade
Solanum nigrum,European Black Nightshade
Solanum pseudocapsicum,Jerusalem-Cherry
Solanum pseudogracile,"Glowing Nightshade, Dune Nightshade"
Solanum ptychanthum,"Eastern Black Nightshade, West Indian Nightshade"
Solanum pumilum,"Dwarf Horse-Nettle, Hairy Carolina Horse-Nettle"
Solanum rostratum,"Buffalo-Burr, Kansas-Thistle, Buffalo-Burr Nightshade, Horned Nightshade"
Solanum sisymbriifolium,"Sticky Nightshade, Fire-And-Ice-Plant, Litchi-Tomato"
Solanum torvum,"Turkey-Berry, Devil's-Fig, Prickly Nightshade, Wild Eggplant"
Solanum tuberosum,"Irish Potato, White Potato"
Solanum viarum,Tropical Soda-Apple
Solidago altissima,"Tall Goldenrod, Common Goldenrod"
Solidago arenicola,"Locust Fork Goldenrod, Black Warrior Goldenrod, Alabama Goldenrod"
Solidago arguta var. boottii,Boott’s Goldenrod
Solidago arguta var. caroliniana,"Sharp-Leaf Goldenrod, Sharp-Tooth Goldenrod, Atlantic Goldenrod"
Solidago auriculata,"Eared Goldenrod, Clasping-Leaf Goldenrod"
Solidago bicolor,"Silver-Rod, White Goldenrod"
Solidago brachyphylla,Dixie Goldenrod
Solidago caesia,"Wreath Goldenrod, Bluestem Goldenrod, Axillary Goldenrod"
Solidago curtisii,Curtis’ Goldenrod
Solidago erecta,"Showy Goldenrod, Erect Goldenrod, Slender Goldenrod"
Solidago fistulosa,"Pinebarren Goldenrod, Hairy Pineywoods Goldenrod"
Solidago flaccidifolia,"Mountain Goldenrod, Appalachian Goldenrod"
Solidago flexicaulis,"Zigzag Goldenrod, Broadleaf Goldenrod"
Solidago gigantea,"Giant Goldenrod, Late Goldenrod"
Solidago gracillima,"Virginia Goldenrod, Southern Bog Goldenrod, Graceful Goldenrod"
Solidago hispida,Hairy Goldenrod
Solidago juncea,Early Goldenrod
Solidago latissimifolia,"Elliott’s Goldenrod, Coastal Swamp Goldenrod"
Solidago leavenworthii,Leavenworth’s Goldenrod
Solidago nemoralis,"Eastern Gray Goldenrod, Old-Field Goldenrod"
Solidago odora,"Sweet Goldenrod, Anise-Scented Goldenrod, Licorice Goldenrod"
Solidago patula var. patula,"Northern Roughleaf Goldenrod, Swamp Goldenrod"
Solidago patula var. strictula,Southern Roughleaf Goldenrod
Solidago petiolaris,Ragged Goldenrod
Solidago ptarmicoides,"White Prairie-Goldenrod, Upland White-Aster, Prairie Flat-Top-Goldenrod"
Solidago puberula var. puberula,Downy Goldenrod
Solidago puberula var. pulverulenta,Dusty Downy Goldenrod
Solidago rigida ssp. glabrata,"Southeastern Stiff-Goldenrod, Southeastern Bold-Goldenrod"
Solidago rigida ssp. rigida,"Midwestern Stiff-Goldenrod, Midwestern Bold-Goldenrod, Hard-Leaf Flat-Top-Goldenrod"
Solidago rugosa var. aspera,"Rough-Stem Goldenrod, Rough Wrinkled Goldenrod"
